Informazioni cronologiche,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. 
,Primo Bitti Airport is used by general aviation.,Primo Bitti Airport is used by general aviation.,Primo Bitti Airport is used by general aviation.,Primo Bitti Airport is used by general aviation.,Dresden Airport is located in the time zone UTC+01:00.,Dresden Airport is located in the time zone UTC+01:00.,Dresden Airport is located in the time zone UTC+01:00.,Dresden Airport is located in the time zone UTC+01:00.,"The native label of Luxor International Airport is"" مطار الأقصر الدولي "".","The native label of Luxor International Airport is"" مطار الأقصر الدولي "".","The native label of Luxor International Airport is"" مطار الأقصر الدولي "".","The native label of Luxor International Airport is"" مطار الأقصر الدولي "".",George Bush Intercontinental Airport has part of Terminal E.,George Bush Intercontinental Airport has part of Terminal E.,George Bush Intercontinental Airport has part of Terminal E.,George Bush Intercontinental Airport has part of Terminal E.,"Manston Airport was disbanded, abolished or demolished on 15/05/2014.","Manston Airport was disbanded, abolished or demolished on 15/05/2014.","Manston Airport was disbanded, abolished or demolished on 15/05/2014.","Manston Airport was disbanded, abolished or demolished on 15/05/2014.",Washington-Hoover Airport replaces Hoover Field.,Washington-Hoover Airport replaces Hoover Field.,Washington-Hoover Airport replaces Hoover Field.,Washington-Hoover Airport replaces Hoover Field.,Luleå-Kallax Airport is located in Kallax.,Luleå-Kallax Airport is located in Kallax.,Luleå-Kallax Airport is located in Kallax.,Luleå-Kallax Airport is located in Kallax.,George Bush Intercontinental Airport has 40606 followers on social media.,George Bush Intercontinental Airport has 40606 followers on social media.,George Bush Intercontinental Airport has 40606 followers on social media.,Lanzhou Zhongchuan International Airport is located 75km from the city centre of Lanzhou.,Lanzhou Zhongchuan International Airport is located 75km from the city centre of Lanzhou.,Lanzhou Zhongchuan International Airport is located 75km from the city centre of Lanzhou.,Lanzhou Zhongchuan International Airport is located 75km from the city centre of Lanzhou.,Lanzhou Zhongchuan International Airport is located 75km from the city centre of Lanzhou.,Earls Colne Airfi eld is in the historic county of Essex.,Earls Colne Airfi eld is in the historic county of Essex.,Earls Colne Airfi eld is in the historic county of Essex.,Earls Colne Airfi eld is in the historic county of Essex.,Malmö Airport is owned by Swedavia.,Malmö Airport is owned by Swedavia.,Malmö Airport is owned by Swedavia.,Malmö Airport is owned by Swedavia.,The offi cial name of Santa Rosa do Purus Airport is Fazenda Sibéria.,The official name of Santa Rosa do Purus Airport is Fazenda Sibéria.,The official name of Santa Rosa do Purus Airport is Fazenda Sibéria.,The official name of Santa Rosa do Purus Airport is Fazenda Sibéria.,Denver International Airport is scheduled service destination Minneapolis–Saint Paul International Airport.,Denver International Airport is scheduled service destination Minneapolis–Saint Paul International Airport.,Denver International Airport is scheduled service destination Minneapolis–Saint Paul International Airport.,Denver International Airport is scheduled service destination Minneapolis–Saint Paul International Airport.,Svidnik Airport was offi cially opened in 1990.,Svidnik Airport was offi cially opened in 1990.,Svidnik Airport was offi cially opened in 1990.,Svidnik Airport was offi cially opened in 1990.,Cold Bay Airport is operated by the Alaska Department of Transportation & Public Facilities.,Cold Bay Airport is operated by the Alaska Department of Transportation & Public Facilities.,Cold Bay Airport is operated by the Alaska Department of Transportation & Public Facilities.,Cold Bay Airport is operated by the Alaska Department of Transportation & Public Facilities.,"Portland Municipal Airport is different from Portland Airport, Australia.","Portland Municipal Airport is different from Portland Airport, Australia.","Portland Municipal Airport is different from Portland Airport, Australia.","Portland Municipal Airport is different from Portland Airport, Australia.",Forrest City Municipal Airport is named after Forrest City.,Forrest City Municipal Airport is named after Forrest City.,Forrest City Municipal Airport is named after Forrest City.,Forrest City Municipal Airport is named after Forrest City.,The IATA airport code for Farsund Airport is FAN.,The IATA airport code for Farsund Airport is FAN.,The IATA airport code for Farsund Airport is FAN.,The IATA airport code for Farsund Airport is FAN.,The runway at F.D. Roosevelt Airport is 06/24.,The runway at F.D. Roosevelt Airport is 06/24.,The runway at F.D. Roosevelt Airport is 06/24.,The runway at F.D. Roosevelt Airport is 06/24.,Tehran Imam Khomeini International Airport was established in 2004.,Tehran Imam Khomeini International Airport was established in 2004.,Tehran Imam Khomeini International Airport was established in 2004.,Tehran Imam Khomeini International Airport was established in 2004.,Châlons Vatry Airport is served by the transport hub Châlons-en-Champagne.,Châlons Vatry Airport is served by the transport hub Châlons-en-Champagne.,Châlons Vatry Airport is served by the transport hub Châlons-en-Champagne.,Châlons Vatry Airport is served by the transport hub Châlons-en-Champagne.,Buchmiller Airport has the FAA airport code 7ND5.,Buchmiller Airport has the FAA airport code 7ND5.,Buchmiller Airport has the FAA airport code 7ND5.,Buchmiller Airport has the FAA airport code 7ND5.,The ICAO airport code of Calenturitas Airport is SKAL.,The ICAO airport code of Calenturitas Airport is SKAL.,The ICAO airport code of Calenturitas Airport is SKAL.,The ICAO airport code of Calenturitas Airport is SKAL.,Sea Lake Airport is elevated 58 metres above sea level.,Sea Lake Airport is elevated 58 metres above sea level.,Sea Lake Airport is elevated 58 metres above sea level.,Sea Lake Airport is elevated 58 metres above sea level.,Kompiam Airport is located in the administrative territorial entity of Enga Province,Kompiam Airport is located in the administrative territorial entity of Enga Province,Kompiam Airport is located in the administrative territorial entity of Enga Province,Kompiam Airport is located in the administrative territorial entity of Enga Province,Békés Airport is located in Hungary.,Békés Airport is located in Hungary.,Békés Airport is located in Hungary.,Békés Airport is located in Hungary.,The patronage of Denver International Airport is 43387369.,The patronage of Denver International Airport is 43387369.,The patronage of Denver International Airport is 43387369.,The patronage of Denver International Airport is 43387369.
10/13/2022 19:59:18,An airport is used by general aviation.,What does general aviation use?,What does general aviation do to an airport?,Who uses an airport?,An airport is located in a time zone.,What is located in a time zone?,What is the relation between an airport and a time zone?,Where is an airport located in?,The native label of an airport is label.,Which airport has a label?,What does an airport have?,What label does an airport have?,An airport has part a terminal. ,What airport has a terminal?,What is the relation between an airport and a terminal?,What is the terminal of an airport?,"An airport was disbanded, abolished or demolished at a time.","What was disbanded, abolished or demolished at a time?",What is the relation between an airport and a time?,"When was an airport disbanded, abolished or demolished?",An airport replaces an airport.,What replaces an airport?,What does an airport do to an airport?,What replaces an airport?,An airport is located in a city.,What airport is located in a city?,What is the relation between an airport and a city?,Where is an airport located in?,An airport has x followers on social media.,What airport has x followers in social media?,What is the relation between an airport and x number of followers?,How many followers does an airport have?,An airport is located x km from a city.,What airport is located x km from a city?,What is the relation between an airport and a city?,How far is an airport located from a city?,An airport is in a county.,What is in a county?,What is the relation between an airport and a county?,Where is an airport?,An airport is owned by an operator.,What is owned by an operator?,What is the relation between an airport and an operator?,Who owns an airport?,The official name of an airport is name.,What airport has an official name name?,What is the relation between an airport and an official name?,What is the official name of an airport?,An airport is scheduled service destination an airport.,What airport is scheduled service destination of an airport?,What is the relation between two airports?,What airport is scheduled service destination of an airport?,An airport is officially opened in a time.,What airport is officially opened in a time?,What is the relation between an airport and a time?,What time is an airport officially opened?,An airport is operated by a department. ,What airport is operated by a department?,What does a department do to an airport?,Who operates an airport?,An airport is different from an airport.,What airport is different from an airport?,What is the relation between two airports?,What airport is different from an airport?,An airport is named after a city.,What airport is named after a city?,What is the relation between an airport and a city?,What city is an airport named after?,The IATA airport code for an airport is code.,What airport has an IATA airport code code?,What is the relation between an airport and a code?,What code does an airport have? ,The runway at an airport is number.,What airport has a number runway?,What is the relation between an airport and a number?,What number does the runway of an airport have?,An airport was established in a time.,What airport was established in a time?,What is the relation between an airport and a time?,What time is an airport established?,An airport is served by a commune.,What airport is served by a commune?,What is the relation between an airport and a commune?,What commune serves an airport?,An airport has the FAA airport code code.,What airport has the FAA airport code code?,What is the relation between an airport and a code?,What code does an airport have?,The ICAO airport code of an airport is code.,What airport has an ICAO airport code code?,What is the relation between an airport and a code?,What code does an airport have?,An airport is elevated x meters above sea level.,What airport is elevated x meters above sea level?,What is the relation between an airport and x meters above sea level?,How many meters above sea level is an airport elevated?,An airport is located in a province.,What airport is located in a province?,What is the relation between an airport and a province?,What province is an airport located in?,An airport is located in a country.,What airport is located in a country?,What is the relation between an airport and a country?,What country is an airport located in?,The patronage of an airport is number.,What airport has a patronage number?,What is the relation between an airport and a number?,What number does the patronage of an airport have?
10/13/2022 22:46:41,An airport is used by aviation.,What airport is used by aviation?,What is the relation between an airport and aviation?,What is an airport used by?,An airport is located in a time zone.,What airport is located in a time zone?,What is the relation between an airport and a time zone?,What is an airport located in?,An airport has label.,What has a label?,What is the relation between an airport and a label?,What does an airport have?,An airport has part of a terminal.,What has part of a terminal?,What is the relation between an airport and a terminal?,What does an airport have part of?,"An airport was disbanded, abolished or demolished on a date.","What was disbanded, abolished or demolished on a date?",What is the relation between an airport and a date?,"When was an airport disbanded, abolished or demolished?",An airport replaces an airport.,What replaces an airport?,What is the relation between an airport and an airport?,What is replaced by an airport?,An airport is located in an urban area.,What is located in a urban area?,What is the relation between an airport and a urban area?,Where is an airport located in?,An airport has a number of followers on social media.,What has a number of followers on social media?,What is the relation between an airport and social media?,How many followers on social media does an airport have?,An airport is located in a location.,What is located in a location?,What is the relation between an airport and a location?,Where is an airport located in?,An airport is in a county.,What is in a county?,What is the relation between an airport and a county?,Where is an airport?,An airport is owned by an operator.,What is owned by an operator?,What is the relation between an airport and an operator?,What an airport is owned by?,An airport has official name a name.,What has official name a name?,What is the relation between an airport and a name?,What name an airport has official name?,An airport is scheduled service destination of an airport.,What is scheduled service destination of an airport?,What is the relation between an airport and a schedule service destination?,What airport is scheduled service destination of an airport?,An airport was officially opened on a date.,What was officially opened on a year?,What is the relation between an airport and a date? ,When was an airport officially opened?,An airport is operated by a Department of the government.,What does a Department of the government operate?,What is the relation between an airport and a Department of the government?,What is an airport operated by?,An airport is different from an airport.,What is different from an airport?,What is the relation between an airport and an airport?,What is different from an airport?,An airport is named after a city.,What is named after a city?,What is the relation between an airport and a city?,What is an airport named after?,An airport has a IATA airport code.,What has a IATA airport code?,What is the relation between an airport and a IATA airport code?,What IATA airport code does an airport have?,An airport has a runway.,What has a runway?,What is the relation between an airport and a runway?,What does an airport have?,An airport was established in a year.,What was established in a year?,What is the relation between an airport and a year?,When was an airport established?,An airport serves a commune.,What serves a commune?,What is the relation between an airport and a commune?,What does an airport serve?,An airport has a FAA airport code.,What has a FAA airport code?,What is the relation between an airport and a FAA airport code?,Wha does an airport have?,The ICAO airport code of an airport is a ICAO airport code.,What has a ICAO airport code?,What is the relationship between an airport and ICAO airport code?,What ICAO airport code does an airport have?,An airport is elevated a SI unit of length above sea level.,What is elevated a SI unit of length above sea level?,What is the relation between an airport and a SI unit of length?,What is the elevation above sea level of an airport?,An airport is located in a province.,What is located in a province?,What is the relation between an airport and a provicne?,What is the location of an airport?,An airport is located in a country.,What is located in a country?,What is the relation between an airport and a country?,What is the location of an airport?,An airport has patronage code a patronage code.,What has patronage code a patronage code?,What is the relation between an airport and a patronage code?,What patronage code does an airport have?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
