,verbalization,subjectCQ,propertyCQ,objectCQ,theme
0,A fictional character plays a role.,What fictional character plays a role?,What is the relation between a fictional character and a role?,What role does a fictional character play?,Astronaut
1,A person is nicknamed a name.,What person is nicknamed a name?,What is the relation between a person and a name?,What nickname does a person have?,Astronaut
2,A person was involved in a war.,What person was involved in a war?,What is the relation between a person and a war?,What is a person involved in?,Astronaut
3,A fictional character's catchphrase is a phrase.,What fictional character's catchphrase is a phrase?,What is the relation between a fictional character and a phrase?,What phrase is the catchphrase of a fictional character?,Astronaut
4,A person is a candidate in an election.,What person is a candidate in an election?,What is the relation between a person and an election?,What election is a person a candidate in?,Astronaut
5,A person is a creator of a work.,What person is a creator of a work?,What is the relation between a person and a work?,What type of work is a person a creator of?,Astronaut
6,A person's religion is a religion.,What person's religion is a religion?,What is the relation between a person and a religion?,What religion does a person have?,Astronaut
7,A person was a participant in an olympic game.,What person was a participant in an olympic game?,What is the relation between a person and an olympic game?,What olympic game was a person a participant in?,Astronaut
8,A person's work location is a city.,What person's work location is a city?,What is the relation between a person and a city?,What city is a person's work location?,Astronaut
9,New York Public Library.,New York Public Library.,New York Public Library.,New York Public Library.,Astronaut
10,A franchise is the media franchise of a fictional character.,What fictional character has a franchise?,What is the relation between a fictional character and a franchise?,What franchise does a fictional character have?,Astronaut
11,A person's sport is a sport.,What person's sport is a sport?,What is the relation between a person and a sport?,What sport does a person play?,Astronaut
12,A person's residence is in a country.,What person's residence is in a country?,What is the relation between a person and a country?,What country is a person's residence?,Astronaut
13,A person is the father of a person.,What person has a father?,What is the relation between two people?,What is the father of a person?,Astronaut
14,A person's doctoral advisor is a person.,What person's doctoral advisor is a person?,What is the relation between two people?,What person is a doctoral advisor of a person?,Astronaut
15,A fictional character is different from a fictional character.,What fictional character is different from a fictional character?,What is the relation between two fictional characters?,What fictional character is different from a fictional character?,Astronaut
16,A person has a number of children.,What person has a number of children?,What is the relation between a person and a number of children?,How many children does a person have?,Astronaut
17,A fictional character has a superhuman feature of ability.,What fictional character has a superhuman feature or ability?,What is the relation between a fictional character and a superhuman feature or ability?,What superhuman feature or ability does a fictional character have?,Astronaut
18,-,-,-,-,Astronaut
19,A fictional character performs with a person.,What fictional character performs with a person?,What is the relation between a fictional character and a person?,What person does a fictional character perform with?,Astronaut
20,A person's birth name is a name.,What person's birthname is a name?,What is the relation between a person and a name?,What is the birth name of a person?,Astronaut
