,original_triple,SubjectCQ,PropertyCQ,ObjectCQ,Theme
0,The catalog code for Manfred Nink is 11004121.,What is the catalog code for?,What is the catalog code for Manfred Nink?,What is the catalog code for Manfred Nink?,Politician
0,The catalog code for Wilfried Bohlsen is 11000231.,What is the catalog code for?,What is the name of the catalog for Wilfried Bohlsen?,What is the catalog code for Wilfried Bohlsen?,Politician
0,The catalog code for Martin Pätzold is 11004373.,What is the catalog code for?,What is the name of Martin Pätzold's catalog?,What is the catalog code for Martin Pätzold?,Politician
0,Klaus Francke's catalog code is 11000569.,Whose catalog code is 11000569?,What is Klaus Francke's?,What is Klaus Francke's catalog code?,Politician
0,The catalog code for Ilse Schumann is 11002794.,What is the catalog code for?,What is the catalog code for Ilse Schumann?,What is the catalog code for Ilse Schumann?,Politician
0,Heinz Eyrich's catalog code is 11000511.,Whose catalog code is 11000511?,What is Heinz Eyrich's what?,What is Heinz Eyrich's catalog code?,Politician
0,Wilhelm Hahn is affiliated with the CDU/CSU Bundestag.,Who is affiliated with the CDU/CSU Bundestag?,,Wilhelm Hahn is affiliated with what?,Politician
0,José Antonio Kast is affiliated with Republican Action.,Who is affiliated with Republican Action?,What is the affiliation of Kast to Republican Action?,What political party is José Antonio Kast affiliated with?,Politician
0,Herwart Miessner is affiliated with the FDP Bundestag.,Who is affiliated with the FDP Bundestag?,What is Herwart Miessner's political affiliation?,What political party is Herwart Miessner affiliated with?,Politician
0,Gerhard Schüßler is affiliated with the FDP Bundestag.,Who is affiliated with the FDP Bundestag?,What is Schüßler's affiliation with the FDP?,What political party is Schüßler affiliated with?,Politician
0,Heinz Dieter Eßmann is affiliated with the CDU/CSU Bundestag fraction.,Who is affiliated with the CDU/CSU Bundestag fraction?,,What is Heinz Dieter Eßmann affiliated with?,Politician
0,Heidtrud Henn is affiliated with the SPD Bundestag.,Who is affiliated with the SPD Bundestag?,What is Heidtrud Henn's political affiliation?,Heidtrud Henn is affiliated with what party?,Politician
0,Vannevar Bush is affiliated with the Carnegie Institution for Science.,Who is affiliated with the Carnegie Institution for Science?,What is Vannevar Bush's affiliation with the Carnegie Institution for Science?,What institution is Vannevar Bush affiliated with?,Politician
0,Nie Fengzhi's allegiance is the People's Republic of China.,Who is allegiance to the People's Republic of China?,What is Nie Fengzhi's political affiliation?,What is Nie Fengzhi's allegiance?,Politician
0,Stepan Eremin's allegiance is to the Soviet Union.,Who is allegiance to the Soviet Union?,What is Stepan Eremin's relationship to the Soviet Union?,To whom does Eremin allegiance?,Politician
0,Wilhelm Murr's allegiance is Nazi Germany.,Whose allegiance is Nazi Germany?,What is Murr's affiliation with Nazi Germany?,What country is Murr's allegiance?,Politician
0,Goltvianski Oleg's allegiance is Ukraine.,Who is allegiance to Ukraine?,What is Goltvianski Oleg's type of commitment to Ukraine?,What country is Goltvianski Oleg allegiance to?,Politician
0,Alexandre Dmitrievitch Zinoviev's allegiance is the Russian Empire.,Who is allegiance to the Russian Empire?,What is Zinoviev's relationship to the Russian Empire?,Alexandre Dmitrievitch Zinoviev's allegiance is to what empire?,Politician
0,Aleksei Mikhailovich Abaza's allegiance is the Russian Empire.,Who is allegiance to the Russian Empire?,What is Abaza's relationship to the Russian Empire?,What is Aleksei Mikhailovich Abaza's allegiance?,Politician
0,Wasilij Korniew's allegiance is the Soviet Union.,Who is allegiance to the Soviet Union?,What is Wasilij Korniew's political affiliation to the Soviet Union?,What country is Wasilij Korniew's allegiance?,Politician
0,Lucien Arman's copyright status as a creator has expired.,Whose copyright status as a creator has expired?,What has expired for Lucien Arman?,What happened to Lucien Arman's copyright status?,Politician
0,Rostam Bastuni is a creator of works protected by copyrights.,Who is a creator of works protected by copyrights?,What status does Rostam Bastuni hold?,What is Rostam Bastuni a creator of?,Politician
0,Li Yu (Southern Tang) has the copyright status of a creator and the copyrights on works have expired.,Who has the copyright status of a creator?,What status does Li Yu have?,What happens to the work of Li Yu?,Politician
0,Ebba Sparre's copyright status as a creator has expired.,Whose copyright status as a creator has expired?,What has expired for Ebba Sparre?,What happened to Ebba Sparre's copyright status?,Politician
0,Oreste Baratieri's copyright status as a creator has expired.,Whose copyright status as a creator has expired?,What has expired for Oreste Baratieri?,What happened to Oreste Baratieri's copyright status?,Politician
0,Alphonse Desjardins's copyright status as a creator has expired.,Whose copyright status as a creator has expired?,What has expired for Desjardins?,What happened to Desjardins's copyright status?,Politician
0,Ibn Zaydún's copyright status as a creator has expired.,Whose copyright status as a creator has expired?,,,Politician
0,Lucius Cassidienus lived in the Roman Empire.,Who lived in the Roman Empire?,What was Lucius Cassidienus's time period?,Lucius Cassidienus lived in what empire?,Politician
0,Geoffrey of Joinville was born in the 14th century.,Who was born in the 14th century?,What was Geoffrey born in?,When was Geoffrey of Joinville born?,Politician
0,Virginia Borra was born in the 21st century.,What is the name of the woman who was born in the 21st century?,What was Virginia Borra born in?,When was Virginia Borra born?,Politician
0,Manlius Boethius was born in the Roman Empire.,Who was born in the Roman Empire?,What was the birthplace of Manlius Boethius?,Where was Boethius born?,Politician
0,Saturninus was born in the late antiquity.,Who was born in the late antiquity?,Saturninus was born in what time period?,When was Saturninus born?,Politician
0,Tiberius Minucius Augurinus was from the Early Roman Republic.,Who was from the Early Roman Republic?,What was the Early Roman Republic?,Where was Tiberius Minucius Augurinus from?,Politician
0,Cordelia of Britain is from the British Iron Age.,What is the name of the area from the British Iron Age?,What is the British Iron Age?,What era is Cordelia from?,Politician
0,Charles François Riffardeau de Rivière is in the Defence Historical Service.,Who is in the Defence Historical Service?,Where is Charles François Riffardeau de Rivière?,What is Charles François Riffardeau de Rivière in?,Politician
0,Francis O. Clarkson is in the Louis Round Wilson Library.,Who is in the Louis Round Wilson Library?,Where is Francis O. Clarkson located?,Where is Francis O. Clarkson located?,Politician
0,Aristide Reboul-Coste is in the Departmental Archives of Hérault.,Who is in the Departmental Archives of Hérault?,Where is Aristide Reboul-Coste located?,Where is Aristide Reboul-Coste located?,Politician
0,Gilbert McAllister is in the National Library of Wales.,Who is in the National Library of Wales?,Where is Gilbert McAllister located?,Where is Gilbert McAllister located?,Politician
0,Henri Chevreau archives at Archives nationales.,Who is the author of the archives at Archives nationales?,Where is Henri Chevreau located?,Where is Henri Chevreau's archive?,Politician
0,Alfons Van de Perre archives at Archief en Documentatiecentrum voor het Vlaams-nationalisme.,Who is the director of the Archief en Documentatiecentrum voor het Vlaams-nationalisme?,Where is Alfons Van de Perre?,Where are Alfons Van de Perre archives located?,Politician
0,Eli Whitney's archives are at the New Haven Museum and Historical Society.,Whose archives are at the New Haven Museum and Historical Society?,Where is Eli Whitney's archive?,Where are Eli Whitney's archives located?,Politician
0,Eva Syková's field of work is neuroscience.,Who is the author of a book on neuroscience?,What is Eva Syková's field of work?,What is Eva Syková's field of work?,Politician
0,Oskar Stanisław Czarnik's field of work is literary studies.,Who is known for his literary studies?,,,Politician
0,Mats Hellström is in the national economy.,Who is in the national economy?,What is Mats Hellström's job?,What is Hellström's job title?,Politician
0,Enrique Ballestero Pareja's field of work is agronomy.,Who is the agronomist?,What is Enrique Ballestero Pareja's field of work?,What is Enrique Ballestero Pareja's field of work?,Politician
0,Moissei Aaronowitsch Krol's field of work is ethnography.,Who is the author of ethnography?,What is Moissei Aaronowitsch Krol's field of work?,What is Moissei Aaronowitsch Krol's field of work?,Politician
0,Condoleezza Rice's field of work is political science.,Who is a political science major?,What is Condoleezza Rice's field of work?,What is the field of work of Condoleezza Rice?,Politician
0,亀井善彰 is a field of work in agriculture.,What is the name of the field of work in agriculture?,,,Politician
0,Maurice Charles O'Connell's honorific prefix is Sir.,Whose prefix is Sir?,What is Maurice Charles O'Connell's prefix?,What is Maurice Charles O'Connell's honorific prefix?,Politician
0,Tony Benn's honorific prefix is The Right Honourable.,"Who is known by the prefix ""The Right Honourable""?",,What is Tony Benn's honorific prefix?,Politician
0,Andrew Mitchell's honorific prefix is The Right Honourable.,Whose prefix is The Right Honourable?,What is Andrew Mitchell's name?,What is Andrew Mitchell's honorific prefix?,Politician
0,The Honourable is the honorific prefix for George Skene Duff.,What is the honorific prefix for?,What is the honorable prefix for George Skene Duff?,What is the honorific prefix for George Skene Duff?,Politician
0,The honorific prefix for Mercedes of Orléans is Royal Highness.,What is the honorific prefix for Mercedes of Orléans?,What is Royal Highness?,What is the honorific prefix for Mercedes of Orléans?,Politician
0,"Sir Daniel Dixon, 1st Baronet's honorific prefix is Sir.",What is the honorific prefix of Sir?,What is Sir Daniel Dixon's?,What is the honorific prefix of the 1st Baronet?,Politician
0,"The honorific prefix of Sir Henry Goring, 2nd Baronet is Sir.",What is the honorific prefix of Sir?,,,Politician
0,Charles Morris has 9 children.,Who has 9 children?,How many children does Charles Morris have?,How many children does Charles Morris have?,Politician
0,Qian Yin'an has 1 child.,Who has 1 child?,How many children does Qian Yin'an have?,How many children does Qian Yin'an have?,Politician
0,Osmo Kaipainen has 3 children.,Who has 3 children?,How many children does Osmo Kaipainen have?,How many children does Osmo Kaipainen have?,Politician
0,Anna Kuvychko has 3 children.,Who has 3 children?,How many children does Anna Kuvychko have?,How many children does Anna Kuvychko have?,Politician
0,Roger Ailes has 1 child.,Who has 1 child?,How many children does Roger Ailes have?,How many children does Roger Ailes have?,Politician
0,Georgios Zambas has 2 children.,Who has 2 children?,How many children does Georgios Zambas have?,How many children does Georgios Zambas have?,Politician
0,Lee Batchelor has 6 children.,Who has 6 children?,How many children does Lee Batchelor have?,How many children does Lee Batchelor have?,Politician
0,Louise Mountbatten's relative is Carl Johan Bernadotte.,Who is Carl Johan Bernadotte's relative?,What is Carl Johan Bernadotte's status?,What is the name of Louise Mountbatten's relative?,Politician
0,Robert Constant Bouhier de L'Écluse is a relative of Suzanne Athénaïs Le Chapellier de La Varenne.,Who is a relative of Suzanne Athéna<unk>s Le Chapellier de La Varenne?,,Robert Constant Bouhier de L'Ecluse is a relative of whom?,Politician
0,Sara Forbes Bonetta is a relative of Queen Victoria.,Who is Sara Forbes Bonetta a relative of?,What is Sara Forbes Bonetta's status?,Who is a relative of Queen Victoria?,Politician
0,Virginie Loveling is a relative of Alice Buysse.,Virginie Loveling is a relative of whom?,What is Virginie Loveling's status?,Who is Alice Buysse's relative?,Politician
0,Jennifer Rae's relative is Lady Anna-Karina Thomson.,Who is the relative of Lady Anna-Karina Thomson?,What is Jennifer Rae's name?,Who is Jennifer Rae's relative?,Politician
0,Jon Snow is a relative of Rhaella Targaryen.,Who is a relative of Rhaella Targaryen?,What is Jon Snow's status?,Jon Snow is a relative of who?,Politician
0,Mónica Ridruejo is a relative of Félix Pastor Ridruejo.,Who is a relative of Félix Pastor Ridruejo?,What is Mónica Ridruejo's status?,Who is Mónica Ridruejo a relative of?,Politician
